id,city_id,name,phone_number,address,food_category,latitude,longitude
10001,1,Seoul Central Roastery,+101-555-0001,"100 Central Road, Seoul",Specialty Cafe,37.5493000,126.9588000
10002,1,Seoul Riverside Brew House,+101-555-0002,"101 Riverside Road, Seoul",Dessert Cafe,37.5536000,126.9636000
10003,1,Seoul Market Coffee Studio,+101-555-0003,"102 Market Road, Seoul",Brunch Cafe,37.5579000,126.9684000
10004,1,Seoul Garden Bean Atelier,+101-555-0004,"103 Garden Road, Seoul",Bakery Cafe,37.5622000,126.9732000
10005,1,Seoul Station Dessert Loft,+101-555-0005,"104 Station Road, Seoul",Coffee Lab,37.5665000,126.9780000
10006,1,Seoul Harbor Cafe Terrace,+101-555-0006,"105 Harbor Road, Seoul",Tea Cafe,37.5708000,126.9828000
10007,1,Seoul Hill Mocha Lab,+101-555-0007,"106 Hill Road, Seoul",Garden Cafe,37.5751000,126.9876000
10008,1,Seoul Square Bakery Lounge,+101-555-0008,"107 Square Road, Seoul",Late Night Cafe,37.5794000,126.9924000
10009,1,Seoul Park Espresso Bar,+101-555-0009,"108 Park Road, Seoul",Roastery,37.5837000,126.9972000
10010,1,Seoul Avenue Tea Room,+101-555-0010,"109 Avenue Road, Seoul",Signature Dessert Cafe,37.5880000,127.0020000
10011,4,Tokyo Central Roastery,+104-555-0001,"100 Central Road, Tokyo",Specialty Cafe,35.6590000,139.6311000
10012,4,Tokyo Riverside Brew House,+104-555-0002,"101 Riverside Road, Tokyo",Dessert Cafe,35.6633000,139.6359000
10013,4,Tokyo Market Coffee Studio,+104-555-0003,"102 Market Road, Tokyo",Brunch Cafe,35.6676000,139.6407000
10014,4,Tokyo Garden Bean Atelier,+104-555-0004,"103 Garden Road, Tokyo",Bakery Cafe,35.6719000,139.6455000
10015,4,Tokyo Station Dessert Loft,+104-555-0005,"104 Station Road, Tokyo",Coffee Lab,35.6762000,139.6503000
